time, aquisitionDuration, accX, accY, accZ, gyroX, gyroY, gyroZ
0.000,0.001301,-22.677345,29.982735,69.473007,-15.820000,12.600000,11.760000
0.002,0.001178,-33.214149,38.145047,65.212328,-10.570000,-82.250000,42.770000
0.004,0.001139,-35.871089,42.961051,64.230936,-14.980000,-28.070000,0.140000
0.006,0.001141,-31.471579,46.307359,57.648426,-61.320000,-72.030000,15.050000
0.008,0.001142,-21.767762,49.342495,47.485030,2.800000,-341.530000,97.650000
0.010,0.001139,-10.689996,47.532903,46.120656,-74.550000,-411.530000,181.020000
0.012,0.001145,-2.570769,51.391451,39.523784,-127.050000,-470.610000,207.620000
0.014,0.001138,-1.019691,47.714820,45.895653,-86.450000,-473.480000,164.710000
0.016,0.001140,-7.554328,47.829714,30.786998,-95.270000,-503.090000,85.120000
0.018,0.001143,-16.492180,46.197252,36.383328,-145.390000,-403.340000,-220.500000
0.020,0.001139,-23.615652,45.201498,29.609327,-58.310000,-408.940000,-191.310000
0.022,0.001140,-28.484316,42.410514,28.963044,-3.780000,-411.320000,-98.070000
0.024,0.001140,-29.652412,39.906766,23.136924,110.810000,-397.880000,4.060000
0.026,0.001137,-28.378996,34.884909,20.341153,201.600000,-373.380000,87.010000
0.028,0.001142,-25.214604,30.461463,16.506541,276.990000,-147.490000,96.950000
0.030,0.001137,-22.370959,26.143336,10.383610,308.420000,-43.890000,23.310000
0.032,0.001139,-20.891690,24.161402,14.495884,294.280000,71.120000,-67.970000
0.034,0.001137,-18.790074,19.216142,14.424075,457.940000,139.090000,-88.270000
0.036,0.001137,-18.589008,14.538969,8.957001,516.600000,186.760000,-64.330000
0.038,0.001155,-18.713478,10.785742,9.009661,478.240000,228.200000,2.310000
0.040,0.001150,-15.826748,9.622433,7.305389,464.170000,259.280000,33.390000
0.042,0.001151,-10.843189,9.205939,8.722424,442.470000,312.130000,36.260000
0.044,0.001149,-6.280911,8.655402,11.010744,448.770000,353.010000,-2.240000
0.046,0.001153,-2.858006,8.664977,11.058617,463.400000,416.290000,-90.020000
0.048,0.001152,-1.268629,8.363378,11.369790,479.850000,457.380000,-150.220000
0.050,0.001153,1.776081,10.211268,7.324538,486.010000,493.010000,-227.430000
0.052,0.001150,4.255892,11.527770,5.864418,496.510000,523.320000,-261.940000
0.054,0.001150,3.619184,9.857010,7.061238,535.360000,524.860000,-269.290000
0.056,0.001151,-0.234577,11.762347,8.387315,520.730000,533.470000,-252.910000
0.058,0.001151,-6.022398,11.795858,11.341066,509.600000,556.710000,-276.290000
0.060,0.001150,-10.891062,14.337904,10.594251,524.930000,592.830000,-326.970000
0.062,0.001151,-4.509618,21.585846,15.534724,366.800000,667.660000,-403.200000
0.064,0.001152,-4.945260,26.794406,36.163113,292.180000,744.240000,-515.900000
0.066,0.001151,-13.299064,27.421540,33.305107,608.930000,869.050000,-612.990000
0.068,0.001150,-18.474114,27.134303,26.823130,683.690000,921.550000,-626.220000
0.070,0.001149,-22.280001,27.076856,36.675352,681.030000,976.220000,-500.710000
0.072,0.001150,-22.528940,20.211896,45.024368,918.820000,1009.610000,-344.960000
0.074,0.002019,-19.541677,15.079932,35.507256,1033.550000,992.180000,-10.850000
0.076,0.001283,-12.303310,8.645828,37.345571,997.290000,986.160000,133.770000
0.078,0.001167,-3.628758,1.354800,40.797200,1035.650000,998.130000,162.050000
0.080,0.001151,4.519192,-3.705355,34.808313,1099.140000,1025.010000,107.590000
0.082,0.001151,10.417121,-7.884650,29.839116,1063.440000,1062.180000,-50.680000
0.084,0.001153,14.184711,-11.795858,29.034853,1006.810000,1119.720000,-207.270000
0.086,0.001151,15.209189,-14.811844,27.105579,956.480000,1162.070000,-325.780000
0.088,0.001151,14.692162,-16.731544,22.811389,903.420000,1184.120000,-434.210000
0.090,0.001149,14.395351,-18.354432,20.427324,801.010000,1181.390000,-425.880000
0.092,0.001151,14.807057,-19.795403,18.723052,728.140000,1150.100000,-369.110000
0.094,0.001150,16.990057,-21.040096,17.090590,636.720000,1098.650000,-284.550000
0.096,0.001369,20.446473,-22.610323,15.381531,555.170000,1036.000000,-207.760000
0.098,0.001270,24.625768,-23.457672,12.930443,453.180000,982.660000,-166.880000
0.100,0.001315,28.441230,-23.572567,10.249566,373.240000,940.030000,-182.840000
0.102,0.001158,31.476366,-23.630014,8.157525,288.820000,879.970000,-211.330000
0.104,0.001152,33.161489,-23.060328,6.146868,174.230000,838.180000,-256.900000
0.106,0.001154,33.745537,-21.758188,3.973442,91.140000,787.430000,-318.430000
0.108,0.001151,33.434364,-20.106576,2.235660,7.770000,710.640000,-335.300000
0.110,0.001153,32.735421,-18.052833,1.354800,-101.780000,643.930000,-336.910000
0.112,0.001185,31.964669,-15.726215,1.038840,-178.010000,541.940000,-284.620000
0.114,0.001154,31.366259,-12.298522,1.335651,-266.560000,461.230000,-241.780000
0.116,0.001150,31.251364,-10.857551,1.412248,-324.520000,378.630000,-165.760000
0.118,0.001153,31.256151,-8.349016,2.115978,-395.710000,272.790000,-129.500000
0.120,0.001153,31.241789,-5.735161,2.633004,-439.250000,198.450000,-88.060000
0.122,0.001155,31.045511,-2.690451,3.197903,-479.500000,108.150000,-84.420000
0.124,0.001152,30.332206,0.392557,4.083550,-520.030000,49.210000,-86.730000
0.126,0.001152,29.030066,3.303223,5.304306,-544.110000,-7.770000,-98.420000
0.128,0.001154,26.918875,6.098995,6.922407,-563.010000,-74.830000,-109.620000
0.130,0.001150,24.252360,9.043172,8.516571,-569.380000,-123.620000,-115.570000
0.132,0.001152,21.523611,11.269257,11.063404,-568.540000,-182.420000,-113.540000
0.134,0.001150,18.742201,13.878325,12.719803,-546.350000,-222.880000,-99.750000
0.136,0.001152,15.587384,15.975153,13.385235,-517.860000,-270.760000,-88.410000
0.138,0.001151,12.590546,17.578892,15.707066,-485.310000,-300.790000,-69.720000
0.140,0.001152,9.445303,18.976778,17.224633,-443.800000,-323.610000,-56.980000
0.142,0.001152,6.156442,20.379451,16.698033,-399.630000,-345.590000,-42.490000
0.144,0.001152,3.231414,21.250736,16.951758,-355.390000,-355.460000,-33.950000
0.146,0.001151,0.038298,22.361385,16.875162,-318.360000,-358.190000,-26.950000
0.148,0.001153,-2.776622,22.806602,17.018780,-263.340000,-352.800000,-23.800000
0.150,0.001152,-5.313881,23.117775,16.779416,-221.270000,-342.300000,-22.050000
0.152,0.001154,-7.429859,23.481608,16.444307,-168.280000,-322.280000,-20.790000
0.154,0.001153,-9.574560,23.586929,15.745364,-126.420000,-302.540000,-20.300000
0.156,0.001152,-11.178299,23.333203,15.118230,-86.940000,-272.650000,-18.200000
0.158,0.001152,-12.537886,22.969369,14.984186,-36.610000,-247.240000,-18.760000
0.160,0.001152,-13.629386,22.299150,14.883654,1.400000,-202.160000,-11.200000
0.162,0.001152,-14.251733,21.504462,14.165562,51.590000,-181.790000,-10.430000
0.164,0.001153,-14.711311,20.671475,13.557577,84.980000,-151.830000,-2.660000
0.166,0.001155,-14.668226,19.508166,12.796399,118.650000,-110.390000,-1.820000
0.168,0.001153,-14.400138,18.349644,11.958625,158.620000,-79.520000,0.490000
0.170,0.001152,-13.739494,16.975695,11.116064,184.380000,-38.290000,0.910000
0.172,0.001151,-12.782038,15.549085,10.417121,215.250000,-7.910000,-0.350000
0.174,0.001151,-11.896391,14.002794,9.871371,235.410000,21.350000,-4.340000
0.176,0.001150,-10.599038,12.475652,9.268174,257.600000,58.660000,-8.470000
0.178,0.001152,-9.416580,10.843189,8.784659,270.550000,83.020000,-14.560000
0.180,0.001152,-8.176674,9.249025,8.641040,280.350000,112.980000,-18.620000
0.182,0.001153,-6.673468,7.635712,8.664977,286.720000,130.340000,-19.390000
0.184,0.001152,-5.074517,6.137293,8.143163,288.680000,144.900000,-21.910000
0.186,0.001152,-3.504289,5.021857,7.405922,286.300000,158.690000,-19.320000
0.188,0.001150,-1.828741,4.954835,2.374491,282.450000,164.570000,-17.570000
0.190,0.001149,26.349189,-12.456503,31.327960,592.760000,54.460000,266.910000
0.192,0.001151,44.942985,-12.652781,-1.632462,737.380000,-136.920000,725.690000
0.194,0.001150,60.080364,-24.788536,-2.992050,559.580000,-497.350000,1268.750000
0.196,0.001151,65.422968,-35.004591,-6.678256,428.400000,-552.370000,1358.210000
0.198,0.001150,67.184688,-38.264729,-9.426154,296.310000,-660.310000,923.580000
0.200,0.001153,66.141060,-37.886534,-11.149575,52.710000,-581.000000,398.230000
0.202,0.001150,58.514923,-37.570573,-6.845810,-124.950000,-608.230000,-209.580000
0.204,0.001153,45.670651,-37.355146,1.618101,-288.890000,-620.130000,-432.810000
0.206,0.001150,29.934862,-35.047677,5.376115,-386.330000,-674.730000,-400.400000
0.208,0.001255,17.057079,-31.725305,6.362295,-470.470000,-843.290000,-85.120000
0.211,0.001159,10.182545,-29.235919,8.277207,-634.900000,-928.620000,282.030000
0.213,0.001154,10.479356,-27.177389,12.097457,-752.640000,-1064.840000,699.090000
0.215,0.001152,15.132592,-25.152369,16.190581,-919.310000,-1133.510000,897.190000
0.217,0.001154,21.758188,-22.165106,21.102330,-1054.340000,-1165.570000,884.240000
0.219,0.001152,26.167272,-18.268260,28.943895,-1173.690000,-1118.320000,715.050000
0.221,0.001154,24.913005,-13.265553,34.133306,-1313.410000,-1038.380000,438.760000
0.223,0.001149,17.669850,-6.079846,37.369508,-1407.770000,-938.070000,39.410000
0.225,0.001151,9.148492,2.106403,38.317389,-1535.520000,-860.720000,-191.100000
0.227,0.001152,-0.646283,5.873993,58.974502,-1546.930000,-826.350000,-329.840000
0.229,0.001154,-9.292110,15.529936,54.962762,-1187.620000,-800.310000,-292.320000
0.231,0.001151,-15.850684,26.143336,36.115240,-1163.540000,-801.360000,-107.800000
0.233,0.001154,-16.559202,30.207737,41.879125,-1155.840000,-817.040000,60.060000
0.235,0.001152,-14.735248,32.754570,43.942443,-992.670000,-798.350000,187.810000
0.237,0.001198,-10.967658,35.550341,40.126981,-898.310000,-743.190000,249.760000
0.239,0.001322,-5.773460,37.403019,35.210444,-750.610000,-664.300000,150.010000
0.241,0.001160,-2.561195,37.417380,34.717355,-657.510000,-588.420000,18.410000
0.243,0.001154,-0.746816,38.025365,30.743912,-545.230000,-482.370000,-115.850000
0.245,0.001153,-0.584048,37.848236,28.776340,-418.460000,-438.690000,-191.380000
0.247,0.001154,-0.962243,35.832791,27.081643,-322.980000,-411.740000,-178.360000
0.249,0.001156,-0.545750,33.716813,24.271510,-202.440000,-432.810000,-90.930000
0.251,0.001153,0.799476,30.327419,19.139545,-107.380000,-450.170000,64.890000
0.253,0.001154,2.599493,24.242786,18.454964,-16.590000,-479.430000,159.670000
0.255,0.001152,5.821332,17.995386,15.845897,46.060000,-484.400000,183.540000
0.257,0.001154,8.253271,12.384693,11.858093,65.870000,-458.780000,120.750000
0.259,0.001263,9.742115,6.161229,9.024023,82.040000,-413.210000,-21.420000
0.261,0.001156,7.027727,3.240989,7.721883,74.130000,-374.430000,-127.400000
0.263,0.001153,4.117061,0.445217,4.796855,42.420000,-348.320000,-197.120000
0.265,0.001155,-1.373949,-0.828199,5.098453,7.770000,-338.940000,-217.980000
0.267,0.001152,-5.481436,-1.512780,4.332488,-27.720000,-336.560000,-160.440000
0.269,0.001152,-8.923490,-1.814379,4.964409,-70.770000,-332.290000,-72.170000
0.271,0.001152,-9.785200,-1.110649,2.762261,-78.820000,-335.300000,43.470000
0.273,0.001154,-9.272961,-2.159063,3.489927,-115.290000,-307.300000,79.940000
0.275,0.001153,-8.731999,-0.861710,3.920782,-140.910000,-276.990000,37.030000
0.277,0.001153,-9.268174,0.976605,3.992592,-168.280000,-199.290000,-44.310000
0.279,0.001154,-12.140542,3.298436,6.194740,-186.620000,-133.070000,-160.440000
0.281,0.001154,-14.270882,5.931440,9.708604,-202.860000,-49.700000,-224.630000
0.283,0.001153,-17.487934,10.488930,9.718178,-189.490000,11.830000,-245.630000
0.285,0.001152,-18.450177,14.826206,10.096374,-179.970000,52.640000,-203.490000
0.287,0.001152,-16.913460,18.416666,13.442682,-141.610000,90.370000,-125.370000
0.289,0.001153,-12.159691,21.327332,13.830452,-93.450000,103.460000,-4.060000
0.291,0.001152,-5.266008,23.314054,15.041634,-38.080000,119.210000,64.260000
0.293,0.001152,0.306386,24.271510,16.147495,44.870000,133.280000,93.520000
0.295,0.001150,6.280911,24.491724,16.659734,110.670000,160.300000,62.930000
0.297,0.001150,10.982020,23.950762,16.305476,199.500000,185.780000,9.800000
0.299,0.001154,11.101702,22.792240,16.042175,258.930000,203.980000,-65.450000
0.301,0.001151,10.613400,20.968286,15.017697,316.470000,221.200000,-100.450000
0.303,0.001150,9.167641,18.814010,14.108114,379.960000,222.040000,-110.950000
0.305,0.001153,7.956459,16.200156,13.533641,418.600000,217.700000,-93.520000
0.307,0.001153,7.458582,13.399597,12.576185,463.890000,211.960000,-70.000000
0.309,0.001149,7.741032,10.862338,11.508621,490.770000,207.480000,-49.350000
0.311,0.001162,7.932523,8.368165,9.517113,513.310000,208.530000,-52.360000
0.313,0.001177,8.114440,8.655402,1.455333,523.740000,213.500000,-85.610000
0.315,0.001154,7.583052,4.423447,5.021857,539.000000,224.840000,-127.960000
0.317,0.001150,3.758015,0.900009,6.247400,531.440000,236.810000,-170.240000
0.319,0.001154,-0.536175,0.971818,2.589918,495.110000,262.570000,-232.190000
0.321,0.001152,-4.351638,0.000000,8.641040,414.330000,307.930000,-282.240000
0.323,0.001150,-9.871371,3.102157,6.965492,405.300000,354.830000,-351.890000
0.325,0.001153,-13.423533,3.647907,12.758101,377.580000,430.920000,-394.100000
0.327,0.001151,-17.171973,6.352721,13.054913,371.000000,489.370000,-429.310000
0.329,0.001154,-20.781582,9.914457,12.844272,373.730000,568.470000,-419.860000
0.331,0.001148,-22.777878,11.953838,20.580517,330.470000,628.110000,-402.850000
0.333,0.001150,-27.287496,11.594792,20.523069,457.450000,688.450000,-356.650000
0.335,0.001368,-22.437981,16.631011,14.060241,410.340000,773.920000,-282.380000
0.337,0.001287,-20.891690,16.520903,28.632722,370.370000,811.300000,-232.960000
0.339,0.001166,-19.958170,13.615024,30.901892,532.000000,868.630000,-195.860000
0.341,0.001151,-17.253357,14.582055,18.498050,566.160000,914.760000,-168.980000
0.343,0.001146,-14.318754,11.163937,30.485399,524.860000,975.450000,-147.910000
